agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2021-11-12 00:00,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 00:15,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 00:30,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 00:45,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 01:00,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 01:15,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 01:30,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 01:45,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 02:00,EST,10.2,P,1.15,P
USGS,02085070,2021-11-12 02:15,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 02:30,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 02:45,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 03:00,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 03:15,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 03:30,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 03:45,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 04:00,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 04:15,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 04:30,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 04:45,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 05:00,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 05:15,EST,9.97,P,1.14,P
USGS,02085070,2021-11-12 05:30,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 05:45,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 06:00,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 06:15,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 06:30,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 06:45,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 07:00,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 07:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 07:30,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 07:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 08:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 08:15,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 08:30,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 08:45,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 09:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 09:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 09:30,EST,9.71,P,1.13,P
USGS,02085070,2021-11-12 09:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 10:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 10:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 10:30,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 10:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 11:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 11:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 11:30,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 11:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 12:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 12:15,EST,9.45,P,1.12,P
